Vehicle condition,Category,Vehicle Number,Availability,Origin,Mileage,Cubic Capacity,Power,Drive type,Fuel,Number of Seats,Door Count,Transmission,Emission Class,Emissions Sticker,First Registration,HU,Climatisation,Parking sensors,Airbags,Colour (Manufacturer),Colour,Interior Design,price,Make,Energy consumption (comb.)2,CO₂ emissions (comb.)2,Fuel consumption2,Number of Vehicle Owners,Trailer load braked,Trailer load unbraked,Weight,Cylinders,Tank capacity,Date of last service (date),Last service (mileage),CO₂ class,"Energy costs for 15,000 km annual mileage2",Fuel price,Vehicle tax,Construction Year,Support load,"Possible CO₂ costs over the next 10 years (15,000 km/year)2","Commercial, Export/Import",Sliding door,Battery capacity (in kWh),Battery,Other energy source
Used vehicle,Estate Car,0337D,Now,German edition,"107,295 km","1,968 ccm",110 kW (150 hp),Internal combustion engine,Diesel,5,4/5,Manual gearbox,Euro6d-TEMP,4 (Green),10/2017,New,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Alcantara, Black","€23,990",Audi,,,,,,,,,,,,,,,,,,,,,,,
Used vehicle,Estate Car,,,German edition,"98,844 km","1,984 ccm",185 kW (252 hp),Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),11/2017,06/2025,"Automatic climatisation, 3 zones","Front, Rear, Camera",Front and Side and More Airbags,Tangorot Metallic,Red Metallic,"Full leather, Black","€23,950",Audi,6.1 l/100km,142 g/km,6.1 l/100km (combined),2,"1,500 kg",750 kg,"1,575 kg",4,54 l,,,,,,,,,,,,,,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0326I,Now,German edition,"83,181 km","1,984 ccm",132 kW (179 hp),Internal combustion engine,"Petrol, E10-enabled",5,4/5,Manual gearbox,Euro6,4 (Green),01/2016,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Florettsilber Metallic,Silver Metallic,"Cloth, Black","€18,990",Audi,,,,,,,,,,,,,,,,,,,,,,,
"Used vehicle, Accident-free",Saloon,,,,"92,000 km","2,967 ccm",180 kW (245 hp),Internal combustion engine,Diesel,4,4/5,Automatic,Euro5,,03/2015,06/2025,Automatic air conditioning,"Rear, Camera, Front",,,White,Alcantara,"€22,600",Audi,,,,3,,,,,,,,,,,,,,,,,,,
Used vehicle,Saloon,0286H,Now,German edition,"110,244 km","1,984 ccm",140 kW (190 hp),Internal combustion engine,"Petrol, E10-enabled",5,4/5,Manual gearbox,Euro6,4 (Green),05/2017,New,Automatic air conditioning,,Front and Side and More Airbags,Scubablau Metallic,Blue Metallic,"Other, Other","€18,990",Audi,,,,,,,,,,,,,,,,,,,,,,,
Used vehicle,Estate Car,0093E,Now,German edition,"92,395 km","1,395 ccm",110 kW (150 hp),Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),10/2018,New,Automatic air conditioning,"Rear, Front",Driver Airbag,Mondscheinblau Metallic,Blue Metallic,"Part leather, Black","€24,990",Audi,,,,,,,,,,,,,,,,,,,,,,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,,"101,746 km","1,984 ccm",132 kW (179 hp),Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),12/2017,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Alcantara, Black","€19,999",Audi,7.0 l/100km,161 g/km,7.0 l/100km (combined),,"2,000 kg",750 kg,"1,615 kg",4,64 l,,,,,,,,,,,,,,
"Used vehicle, Accident-free",Cabriolet / Roadster,,,,"94,158 km","1,395 ccm",92 kW (125 hp),Internal combustion engine,Petrol,4,2/3,Manual gearbox,Euro6,4 (Green),04/2015,05/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Amalfiweiss,White Metallic,"Alcantara, Black","€16,490",Audi,5.3 l/100km,126 g/km,5.3 l/100km (combined),2,,,,,,,,,,,,,,,,,,,
"Used vehicle, Accident-free",Cabriolet / Roadster,,Now,German edition,"78,800 km","1,984 ccm",221 kW (300 hp),Internal combustion engine,"Petrol, E10-enabled",4,2/3,Automatic,Euro6,4 (Green),04/2015,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Misanorot Perleffekt,Red Metallic,"Full leather, Black","€25,690",Audi,,,,2,,,,,,,,,,,,,,,,,,,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,,,,"86,500 km","1,984 ccm",162 kW (220 hp),Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),03/2015,04/2026,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,Florettsilber Metallic,Silver Metallic,"Full leather, Black","€19,890",Audi,,,,,,,,,,,,,,,,,,,,,,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,German edition,"120,000 km","2,480 ccm",228 kW (310 hp),Internal combustion engine,Petrol,5,4/5,Automatic,Euro5,4 (Green),12/2014,10/2024,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Alcantara, Black","€23,300",Audi,8.8 l/100km,209 g/km,8.8 l/100km (combined),2,,,,,,,,,,,,,,,,,,,
"Used vehicle, Repaired accident damage",Estate Car,,,German edition,"102,880 km","1,498 ccm",110 kW (150 hp),Internal combustion engine,"Petrol, E10-enabled",5,4/5,Automatic,Euro6d-TEMP,4 (Green),07/2019,08/2026,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black","€22,990",Audi,5.2 l/100km,117 g/km,5.2 l/100km (combined),2,"1,500 kg",660 kg,"1,345 kg",4,50 l,,,,,,,,,,,,,,
"Used vehicle, Accident-free",Small Car,,,,"98,270 km","1,395 ccm",110 kW (150 hp),Internal combustion engine,"Petrol, E10-enabled",5,4/5,Automatic,Euro6,4 (Green),08/2015,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Full leather, Black","€15,900",Audi,4.7 l/100km,109 g/km,4.7 l/100km (combined),,,,,,,01/2024,"94,898 km",,,,,,,,,,,,
Used vehicle,Cabriolet / Roadster,,,German edition,"55,000 km","1,395 ccm",92 kW (125 hp),Internal combustion engine,Petrol,4,2/3,Manual gearbox,Euro6,4 (Green),03/2015,04/2026,Automatic air conditioning,Rear,Front and Side and More Airbags,Monsungrau Metallic,Grey Metallic,"Alcantara, Black","€17,450",Audi,5.3 l/100km,126 g/km,5.3 l/100km (combined),2,"1,400 kg",710 kg,"1,420 kg",4,50 l,04/2024,"51,485 km",,,,,,,,,,,,
"Used vehicle, Accident-free",Saloon,Fahrzeugnummer : 73,,German edition,"116,200 km","1,968 ccm",110 kW (150 hp),Internal combustion engine,Diesel,5,4/5,Automatic,Euro5,4 (Green),11/2014,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Full leather, Grey","€18,990",Audi,4.5 l/100km,119 g/km,4.5 l/100km (combined),2,"1,600 kg",750 kg,"1,590 kg",4,63 l,,,,,,,,,,,,,,
Used vehicle,Cabriolet / Roadster,,,German edition,"98,699 km","2,967 ccm",160 kW (218 hp),Internal combustion engine,Diesel,4,2/3,Automatic,Euro6,4 (Green),07/2017,05/2026,"Automatic climatisation, 3 zones","Rear, Front",Front and Side Airbags,Gletscherweiß Metallic,White Metallic,"Alcantara, Black","€24,990",Audi,5.2 l/100km,137 g/km,5.2 l/100km (combined),3,"1,800 kg",750 kg,"1,895 kg",6,58 l,,,,,,,,,,,,,,
Used vehicle,Saloon,0138J,Now,German edition,"79,670 km","1,968 ccm",140 kW (190 hp),Internal combustion engine,Diesel,5,4/5,Automatic,Euro6,4 (Green),10/2017,New,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Tornadograu Metallic,Grey Metallic,"Full leather, Black","€25,950",Audi,,,,,,,,,,,,,,,,,,,,,,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,German edition,"104,000 km","1,984 ccm",140 kW (190 hp),Internal combustion engine,"Petrol, E10-enabled",5,4/5,Automatic,Euro6d-TEMP,4 (Green),05/2019,New,"Automatic climatisation, 2 zones","Front, Rear",Driver Airbag,Nanograu,Grey Metallic,"Cloth, Other","€25,990",Audi,7.5 l/100km,171 g/km,7.5 l/100km (combined),2,,,"1,695 kg",4,,,,Based on CO₂ emissions (combined),"€2,081/Year",€1.85/l (annual average 2025),€40/Year,,,,,,,,
"Used vehicle, Accident-free",Sports Car / Coupe,,,German edition,"101,266 km","1,984 ccm",140 kW (190 hp),Internal combustion engine,"Petrol, E10-enabled",4,2/3,Automatic,Euro6d-TEMP,4 (Green),06/2019,03/2025,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Cloth, Black","€26,600",Audi,5.9 l/100km,137 g/km,5.9 l/100km (combined),,"1,500 kg",740 kg,"1,525 kg",4,54 l,,,,,,,,,,,,,,
"Used vehicle, Accident-free",Saloon,,,German edition,"95,385 km","2,967 ccm",190 kW (258 hp),Internal combustion engine,Diesel,5,4/5,Automatic,Euro6,4 (Green),04/2015,04/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Vulkanrot Metallic,Red Metallic,"Part leather, Grey","€22,500",Audi,6.3 l/100km,167 g/km,6.3 l/100km (combined),1,"2,400 kg",750 kg,"1,955 kg",6,75 l,,,,,,,,,,,,,,
Used vehicle,Estate Car,12758,Now,,"89,000 km","2,967 ccm",200 kW (272 hp),Internal combustion engine,Diesel,5,4/5,Automatic,Euro6,4 (Green),04/2017,New,"Automatic climatisation, 4 zones","Self-steering systems, Rear, Front, Camera",Front and Side and More Airbags,Oolonggrau Metallic,Grey Metallic,"Alcantara, Black","€29,990",Audi,5.3 l/100km,138 g/km,5.3 l/100km (combined),,"2,000 kg",750 kg,"1,910 kg",6,73 l,,,,,,,,,,,,,,
"Used vehicle, Accident-free",Small Car,,,German edition,"95,000 km","1,395 ccm",92 kW (125 hp),Internal combustion engine,Petrol,4,4/5,Manual gearbox,Euro6,4 (Green),10/2015,05/2026,Automatic air conditioning,Rear,Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black","€14,290",Audi,5.2 l/100km,123 g/km,5.2 l/100km (combined),2,"1,200 kg",600 kg,"1,180 kg",4,45 l,,,Based on CO₂ emissions (combined),,,,,,,,,,,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0223C,Now,German edition,"86,978 km","1,498 ccm",110 kW (150 hp),Internal combustion engine,"Petrol, E10-enabled",5,4/5,Manual gearbox,Euro6d-TEMP,4 (Green),11/2019,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Nanograu Metallic,Grey Metallic,"Cloth, Black","€20,950",Audi,,,,,,,,,,,,,,,,,,,,,,,
Used vehicle,Estate Car,,,German edition,"89,100 km","1,968 ccm",140 kW (190 hp),Internal combustion engine,Diesel,5,4/5,Automatic,,4 (Green),05/2016,New,"Automatic climatisation, 4 zones","Rear, Camera, Front",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Full leather, Other","€25,690",Audi,5.4 l/100km,141 g/km,5.4 l/100km (combined),,"1,800 kg",750 kg,"1,885 kg",4,73 l,,,,,,,,,,,,,,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,HME-025228,Now,,"92,881 km","1,968 ccm",140 kW (190 hp),Internal combustion engine,Diesel,5,4/5,Automatic,Euro6,1 (None),08/2017,,Automatic air conditioning,"Rear, Camera, Front",Front and Side and More Airbags,Ibisweiß,White,"Alcantara, Black","€27,990",Audi,,,,,,,,4,,,,,,,,2017,,,,,,,
"Used vehicle, Accident-free",Sports Car / Coupe,,,German edition,"100,000 km","1,984 ccm",155 kW (211 hp),Internal combustion engine,Petrol,2,2/3,Automatic,Euro5,4 (Green),11/2010,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Phantomschwarz Perleffekt,Black Metallic,"Cloth, Grey","€14,999",Audi,6.6 l/100km,156 g/km,6.6 l/100km (combined),2,,,,,,,,,,,,,,,,,,,
Used vehicle,Sports Car / Coupe,,,German edition,"138,745 km","1,984 ccm",170 kW (231 hp),Internal combustion engine,Petrol,4,4/5,Manual gearbox,Euro6,4 (Green),02/2016,09/2025,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Vegasgelb,Yellow Metallic,"Part leather, Black","€16,950",Audi,7.2 l/100km,168 g/km,7.2 l/100km (combined),2,,,"1,415 kg",4,45 l,,,,,,,,,,,,,,
